,KGISWardID,KGISWardNa,date,mean,year,month,day
253,6936,Subramanyapura,2019-01-25,0.3139933176789823,2019,1,25
254,6937,Ibluru,2019-01-25,0.2661156483799692,2019,1,25
255,6938,Naganathapura,2019-01-25,0.2317585899794721,2019,1,25
256,6939,Hulimavu,2019-01-25,0.2677910409378399,2019,1,25
257,6940,Puttenahalli - Sarakki Lake,2019-01-25,0.2064908063464201,2019,1,25
258,6941,RBI layout,2019-01-25,0.2403500939771192,2019,1,25
259,6942,Yelachenahalli,2019-01-25,0.198154371396724,2019,1,25
260,6943,Devarachikkanahalli,2019-01-25,0.1975560707969054,2019,1,25
261,6944,Mangammanapalya,2019-01-25,0.1801180578944716,2019,1,25
262,6945,Konanakunte,2019-01-25,0.2495083254596189,2019,1,25
263,6946,Arakere,2019-01-25,0.2326679623265696,2019,1,25
264,6947,Jaraganahalli,2019-01-25,0.1933372263879202,2019,1,25
265,6948,Chunchaghatta,2019-01-25,0.26844246653728,2019,1,25
266,6949,Agara,2019-01-25,0.2108469478606889,2019,1,25
267,6950,Vikram Nagar,2019-01-25,0.2454601152887665,2019,1,25
268,6951,Gottigere,2019-01-25,0.2763259105981173,2019,1,25
269,6952,Umamaheshwara Ward,2019-01-25,0.2540505731869765,2019,1,25
270,6953,Kumaraswamy Layout,2019-01-25,0.2247853245232651,2019,1,25
271,6954,Vasanthpura,2019-01-25,0.2622994048256108,2019,1,25
272,6955,HSR - Singasandra,2019-01-25,0.2108206495079163,2019,1,25
273,6956,Bommanahalli,2019-01-25,0.1835554959817473,2019,1,25
274,6957,Hongasandra,2019-01-25,0.1685796983991875,2019,1,25
275,6958,Rupenaagrahara,2019-01-25,0.2096476400041257,2019,1,25
276,6959,Bilekhalli,2019-01-25,0.2495603792693166,2019,1,25
277,6960,Vinayakanagar,2019-01-25,0.2434582168304702,2019,1,25
278,6961,Hosakerehalli,2019-01-25,0.2722221608306128,2019,1,25
279,6962,Kamakya Nagar,2019-01-25,0.2126542890221851,2019,1,25
280,6963,Deen Dayalu Ward,2019-01-25,0.235623382591536,2019,1,25
281,6964,Sarakki,2019-01-25,0.1866835881247268,2019,1,25
282,6965,Begur,2019-01-25,0.2369728564487114,2019,1,25
283,6966,Kalena Agrahara,2019-01-25,0.275559536994418,2019,1,25
284,6967,Uttarahalli,2019-01-25,0.2426721686798593,2019,1,25
285,6968,Padmanabha Nagar,2019-01-25,0.2230987340882493,2019,1,25
286,6969,Ganesh Mandir ward,2019-01-25,0.2268607624908131,2019,1,25
287,6970,Banashankari Temple ward,2019-01-25,0.1986110913436752,2019,1,25
288,5099,Varthuru,2019-01-25,0.3853569145770555,2019,1,25
289,5102,Munnekollala,2019-01-25,0.2698651385236,2019,1,25
290,5103,Marathahalli,2019-01-25,0.1993521833585885,2019,1,25
